,iter,score onehot,optimization
988,16,0.5150985,max
989,16,-1.4297146,max
990,16,-1.8009288,max
991,16,-1.4766622,max
992,16,-0.5459175,max
993,16,-0.7614386,max
994,16,-1.3286668,max
995,16,-2.0215483,max
996,16,-0.37365484,max
997,16,1.000205,max
998,16,-3.025046,max
999,16,0.6363182,max
1000,16,-2.303097,max
1001,16,-2.6777108,max
1002,16,0.6078522,max
1003,16,-0.33714214,max
1004,16,-1.361969,max
1005,16,1.1567997,max
1006,16,-1.6753162,max
1007,16,-1.1364915,max
1008,16,-1.3539249,max
1009,16,-1.9264358,max
1010,16,0.22259635,max
1011,16,-1.1511668,max
1012,16,-1.9833956,max
1013,16,-0.8001058,max
1014,16,-1.2193439,max
1015,16,-0.8165136,max
1016,16,-0.26333615,max
1017,16,0.1877003,max
1018,16,-0.33849114,max
1019,16,-1.8619728,max
1020,16,-1.9916766,max
1021,16,-1.9353794,max
1022,16,-0.724734,max
1023,16,-1.1944208,max
1024,17,-1.7077986,max
1025,17,-1.856472,max
1026,17,-2.1343384,max
1027,17,-1.8352741,max
1028,17,-0.48590562,max
1029,17,-0.99799454,max
1030,17,-2.8056502,max
1031,17,-0.6962232,max
1032,17,0.15280432,max
1033,17,-3.2062373,max
1034,17,-1.9827226,max
1035,17,-0.1672108,max
1036,17,-1.3519456,max
1037,17,-0.93530184,max
1038,17,-1.3083818,max
1039,17,-2.381552,max
1040,17,-2.7349193,max
1041,17,-2.0786836,max
1042,17,0.3200763,max
1043,17,-0.5080775,max
1044,17,-1.7867972,max
1045,17,-2.6288552,max
1046,17,0.8260486,max
1047,17,-0.4906887,max
1048,17,-2.8157644,max
1049,17,-2.344614,max
1050,17,-1.443559,max
1051,17,-2.055142,max
1052,17,0.5150985,max
1053,17,-1.345562,max
1054,17,-1.6010271,max
1055,17,-1.4766622,max
1056,17,-0.5111763,max
1057,17,-0.75574344,max
1058,17,-1.3286668,max
1059,17,-2.0215483,max
1060,17,-0.37594014,max
1061,17,1.0262953,max
1062,17,-2.9167378,max
1063,17,0.7526189,max
1064,17,-2.297914,max
1065,17,-2.6574283,max
1066,17,0.8091812,max
1067,17,-0.35153875,max
1068,17,-1.4371219,max
1069,17,1.1462364,max
1070,17,-1.3427756,max
1071,17,-1.1364915,max
1072,17,-1.2212324,max
1073,17,-1.9264358,max
1074,17,0.22259635,max
1075,17,-1.2312871,max
1076,17,-1.9833956,max
1077,17,-0.9102245,max
1078,17,-1.198931,max
1079,17,-0.8137629,max
1080,17,-0.23927586,max
1081,17,0.1877003,max
1082,17,-0.42671803,max
1083,17,-1.8376558,max
